"session","created","modified","ended","expired","time_0b_start","plan_bev","mc_bev_make","mc_bev_audi","mc_bev_bmw","mc_bev_cadillac","mc_bev_chevrolet","mc_bev_fiat","mc_bev_ford","mc_bev_genesis","mc_bev_gmc","mc_bev_honda","mc_bev_hyundai","mc_bev_jaguar","mc_bev_kia","mc_bev_lexus","mc_bev_lucid","mc_bev_mazda","mc_bev_mercedes_benz","mc_bev_mini","mc_bev_mitsubishi","mc_bev_nissan","mc_bev_polestar","mc_bev_porsche","mc_bev_rivian","mc_bev_subaru","mc_bev_tesla","mc_bev_toyota","mc_bev_vin_fast","mc_bev_volkswagen","mc_bev_volvo","mc_bev_year","user_model","user_bev","time_0b_end"
"BQHQS4PerOAZwEZ1qNDe9m-NRjymFABmK7TPx555fr6jUgUYTafUf2izWS8M9yyq","2024-03-11 02:35:57","2024-03-11 02:36:06","2024-03-11 02:36:07","","2024-03-11 02:35:57","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-11 02:36:06"
"vYB17iwq8kHysb7WbfUg1BhF1nYuwiAIvCL72BVUKLLsOghECtVYF8lZHrSY1-E3","2024-03-11 02:56:43","2024-03-11 02:57:11","2024-03-11 02:57:12","","2024-03-11 02:56:43","yes","tesla","","","","","","","","","","","","","","","","","","","","","","","","model_y","","","","","2024","model_y","tesla_model_y","2024-03-11 02:57:12"
"pqcnN-hS9pQFNjlIP2otnbAQP-ufOuraQ-NpNBOWbyULu_T8ZjeoMjTb6AJ9BZ7k","2024-03-11 03:27:50","2024-03-11 03:28:51","2024-03-11 03:28:52","","2024-03-11 03:27:50","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-11 03:28:52"
"fJdOGSfGujcbOCs5pQjBFIMMuZ28w82_9DY3EeTWqVjOk40-YWD3q6lNgHnwEWnE","2024-03-12 03:01:12","2024-03-12 03:01:23","2024-03-12 03:01:24","","2024-03-12 03:01:13","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-12 03:01:24"
"HR9qxu0CaSZI6SmVJgBRVg-R64x6VY6AgivwmA9jrJjJZlUprA26J6DhIQvAkuJD","2024-03-12 05:42:26","2024-03-12 05:42:53","2024-03-12 05:42:54","","2024-03-12 05:42:26","yes","tesla","","","","","","","","","","","","","","","","","","","","","","","","model_3","","","","","2024","model_3","tesla_model_3","2024-03-12 05:42:53"
"a2zJB6KEYzYjhrXo1sO7p-jwFzL22DZgaUmIgFct1y5u6T8e632vboiVYvxv_Bwc","2024-03-12 12:00:53","2024-03-12 12:01:13","2024-03-12 12:01:14","","2024-03-12 12:00:53","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-12 12:01:13"
"2im_Qv0wgBL1_fC7IQiCug0xueEsTOA-FOZduQAoNIl7Mxd4C4p-aU6gfyH6Co5L","2024-03-12 13:26:26","2024-03-12 13:27:17","2024-03-12 13:27:18","","2024-03-12 13:26:27","yes","hyundai","","","","","","","","","","ioniq_6","","","","","","","","","","","","","","","","","","","2021","ioniq_6","hyundai_ioniq_6","2024-03-12 13:27:18"
"mJ5nELk1iIE-7VaQGdKMPIiT6fLjVEmxAcNJV_PZQAurx1HrlZ1AEQIY9YwaQiA5","2024-03-12 13:29:19","2024-03-12 13:29:46","2024-03-12 13:29:46","","2024-03-12 13:29:19","yes","ford","","","","","","e_transit_cargo_van","","","","","","","","","","","","","","","","","","","","","","","2023","e_transit_cargo_van","ford_e_transit_cargo_van","2024-03-12 13:29:46"
"TSfoo49cvfzzAlTfj1z44Ki28gcrjhzeUHJqbAv19_xxbjTbtLZFgBIRsqMhqq82","2024-03-12 13:53:21","2024-03-12 14:00:30","2024-03-12 14:00:31","","2024-03-12 13:53:21","yes","ford","","","","","","focus","","","","","","","","","","","","","","","","","","","","","","","2015","focus","ford_focus","2024-03-12 14:00:30"
"e5O6gYeLdUJl6PuVF_wVEoSPY6fPtYbdRmfJfuCdbjTIqQ2Jmf2w0HYI8ayynBJt","2024-03-12 14:00:11","2024-03-12 14:00:46","2024-03-12 14:00:47","","2024-03-12 14:00:11","yes","chevrolet","","","","bolt_ev","","","","","","","","","","","","","","","","","","","","","","","","","2020","bolt_ev","chevrolet_bolt_ev","2024-03-12 14:00:47"
